online,local_hour,free_sh_share,avg_eta_hours,city_area,hour,day_of_week,month,tariff_zone_abidjan,tariff_zone_lahore,tariff_zone_lima
56.0,2025-05-11 10:00:00,0.7481405157731617,0.2998403264551605,650,10,6,5,0,1,0
619.0,2025-05-19 16:00:00,0.2479393385519653,0.3265695560899841,400,16,0,5,1,0,0
39.0,2025-05-11 23:00:00,0.668063000698167,0.2793811838834033,650,23,6,5,0,1,0
211.0,2025-05-13 01:00:00,0.9779464908147748,0.3017424242424242,600,1,1,5,0,0,1
38.0,2025-05-05 08:00:00,0.8969253429425179,0.2599438345617495,650,8,0,5,0,1,0
234.0,2025-05-13 05:00:00,0.9772452126824128,0.1411947895100069,600,5,1,5,0,0,1
114.0,2025-05-03 16:00:00,0.5043147579653094,0.2988041867586428,650,16,5,5,0,1,0
255.0,2025-05-14 21:00:00,0.4230708669474463,0.2416569452299072,400,21,2,5,1,0,0
82.0,2025-05-18 06:00:00,0.4447011549419465,0.2967602771860417,400,6,6,5,1,0,0
385.0,2025-05-04 04:00:00,0.9827508979625392,0.1708263136782992,600,4,6,5,0,0,1
609.0,2025-05-11 12:00:00,0.6890166664359165,0.2905441017500164,600,12,6,5,0,0,1
26.0,2025-05-18 02:00:00,0.8948671289453853,0.2067672271678206,650,2,6,5,0,1,0
141.0,2025-05-15 14:00:00,0.4973185366518453,0.3048682237228262,650,14,3,5,0,1,0
401.0,2025-05-17 20:00:00,0.3438997920049731,0.2773540900350755,400,20,5,5,1,0,0
14.0,2025-05-10 03:00:00,0.8743929944390164,0.1664015652557319,650,3,5,5,0,1,0
805.0,2025-05-15 11:00:00,0.775385469119717,0.7245370094218966,600,11,3,5,0,0,1
16.0,2025-05-12 06:00:00,0.9279323079498878,0.2343505306733606,650,6,0,5,0,1,0
89.0,2025-05-18 14:00:00,0.4845391303495622,0.270596797689989,650,14,6,5,0,1,0
630.0,2025-05-10 11:00:00,0.2365909445740046,0.3541990613677361,400,11,5,5,1,0,0
78.0,2025-05-13 22:00:00,0.7121144844658355,0.2559789958609221,650,22,1,5,0,1,0
245.0,2025-05-16 05:00:00,0.9648991798821592,0.1860921843687374,600,5,4,5,0,0,1
85.0,2025-05-08 11:00:00,0.7213208516061171,0.2824627312100691,650,11,3,5,0,1,0
735.0,2025-05-04 15:00:00,0.7907391615241524,0.3300293844528217,600,15,6,5,0,0,1
10.0,2025-05-12 03:00:00,0.8928328605879041,0.1851711918002398,650,3,0,5,0,1,0
753.0,2025-05-07 21:00:00,0.8667230989113656,0.237616819105691,600,21,2,5,0,0,1
709.0,2025-05-05 21:00:00,0.8514149187399945,0.2111931981593327,600,21,0,5,0,0,1
252.0,2025-05-12 06:00:00,0.9699420187324096,0.2464527260179434,600,6,0,5,0,0,1
646.0,2025-05-16 13:00:00,0.2210138080064461,0.333817927999908,400,13,4,5,1,0,0
113.0,2025-05-10 15:00:00,0.5389350491905982,0.2934608518397943,650,15,5,5,0,1,0
704.0,2025-05-10 15:00:00,0.6460571395497076,0.3970117268942135,600,15,5,5,0,0,1
259.0,2025-05-15 21:00:00,0.4341561386622036,0.2298012432223107,400,21,3,5,1,0,0
606.0,2025-05-15 08:00:00,0.871982107046621,0.293174855243057,600,8,3,5,0,0,1
84.0,2025-05-07 21:00:00,0.6241135155473108,0.258505362628751,650,21,2,5,0,1,0
445.0,2025-05-02 07:00:00,0.90743316264178,0.4079314634053705,600,7,4,5,0,0,1
101.0,2025-05-04 18:00:00,0.5872670426106561,0.3086962430505247,650,18,6,5,0,1,0
654.0,2025-05-07 17:00:00,0.3312357284611954,0.3366924192536845,400,17,2,5,1,0,0
752.0,2025-05-02 11:00:00,0.720901897533625,0.4256293882463334,600,11,4,5,0,0,1
115.0,2025-05-02 23:00:00,0.5213782252861799,0.2094804300536784,400,23,4,5,1,0,0
131.0,2025-05-20 06:00:00,0.5695960228252094,0.362837669552893,400,6,1,5,1,0,0
36.0,2025-05-16 01:00:00,0.8182315938043729,0.229820913105213,650,1,4,5,0,1,0
127.0,2025-05-16 19:00:00,0.5499012959719932,0.3157722956739965,650,19,4,5,0,1,0
49.0,2025-05-07 09:00:00,0.8375633973472298,0.2768278484498903,650,9,2,5,0,1,0
62.0,2025-05-04 21:00:00,0.5663699116445812,0.2748634180634947,650,21,6,5,0,1,0
306.0,2025-05-09 07:00:00,0.4962541593405109,0.3870507942909637,400,7,4,5,1,0,0
367.0,2025-05-14 20:00:00,0.3805930551608746,0.2602113713544792,400,20,2,5,1,0,0
26.0,2025-05-17 02:00:00,0.6275532864620744,0.1916173960273122,400,2,5,5,1,0,0
56.0,2025-05-08 05:00:00,0.5648127639749181,0.3743106575963719,400,5,3,5,1,0,0
80.0,2025-05-05 23:00:00,0.5880143191919884,0.1980095223509244,400,23,0,5,1,0,0
398.0,2025-05-03 01:00:00,0.9770395550061804,0.1446167439805611,600,1,5,5,0,0,1
417.0,2025-05-14 06:00:00,0.9775332773130624,0.2609936693882381,600,6,2,5,0,0,1
676.0,2025-05-19 20:00:00,0.7983430932185831,0.291668789474282,600,20,0,5,0,0,1
614.0,2025-05-08 18:00:00,0.3523859747871272,0.3259647078325663,400,18,3,5,1,0,0
337.0,2025-05-11 14:00:00,0.2987364169844719,0.2781014064313307,400,14,6,5,1,0,0
672.0,2025-05-05 11:00:00,0.721714405545032,0.5888998642878981,600,11,0,5,0,0,1
112.0,2025-05-06 16:00:00,0.5366436811807102,0.2922704773752644,650,16,1,5,0,1,0
108.0,2025-05-19 17:00:00,0.4799790462117413,0.3324443838656802,650,17,0,5,0,1,0
290.0,2025-05-04 17:00:00,0.352727390194534,0.2731911358456413,400,17,6,5,1,0,0
38.0,2025-05-13 01:00:00,0.8345656228603807,0.1978611586554461,650,1,1,5,0,1,0
562.0,2025-05-01 12:00:00,0.3152430848791306,0.299960155138162,400,12,3,5,1,0,0
28.0,2025-05-02 08:00:00,0.8182648151948377,0.2960152017689331,650,8,4,5,0,1,0
33.0,2025-05-16 01:00:00,0.6666515927479377,0.1474473093850022,400,1,4,5,1,0,0
134.0,2025-05-01 18:00:00,0.569724866294673,0.3143893421303378,650,18,3,5,0,1,0
228.0,2025-05-02 02:00:00,0.9812991753335468,0.1473931623931624,600,2,4,5,0,0,1
19.0,2025-05-02 02:00:00,0.5856685445543195,0.136023781578359,400,2,4,5,1,0,0
32.0,2025-05-01 02:00:00,0.8248033236100062,0.1559098639455782,400,2,3,5,1,0,0
